Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4
1656295,"
Which is represented?",25,8,12,5,46,21,4,0.84,0.16,8,10,3,0.5376,0.7332121111929344,0.84,0.8564430835120929,0.42423509404999904,-0.424235094049999,,
1656296,"
Which is represented?",25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656297,"
Which is represented?",25,8,12,5,46,21,4,0.84,0.16,8,10,3,0.5376,0.7332121111929344,0.84,0.8564430835120929,0.42423509404999904,-0.424235094049999,,
1656298,What is the most important role of a sample?,25,8,12,5,46,24,1,0.96,0.04,7,12,5,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,-0.2529281803738824,,0.25292818037388226,
1656299,Inferential statistics is for summarizing your data to tell the reader how the data looks.,25,8,12,5,46,20,5,0.8,0.2,8,9,3,0.64,0.8,0.8,0.8564430835120929,0.35890881801984537,-0.3589088180198454,,
1656300,Parameters are for populations and statistics are for samples.,25,8,12,5,46,24,1,0.96,0.04,8,11,5,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,0.20059821202066538,-0.20059821202066527,,
1656301,A researcher is interested in studying driving habits of drivers in California. The researcher decides to give a short survey about driving habits to individuals at the DMV that have just passed their driving tests to receive their licenses. Which response is the best choice to reflect the sample gathered?,25,8,12,5,46,14,11,0.56,0.44,7,6,1,0.9856,0.9927738916792685,0.56,0.8564430835120929,0.5233449889028909,,-0.523344988902891,
1656302,"You are interested in the difference between a different types of treatment for depression in a sample of college students. Some students receive no treatment, another group of students receive Cognitive Behavioral Therapy (CBT), and the last group of students receive a prescription for anti-depressants. All the students are randomly chosen to be in a group and at the end of the study, you decide to give them a survey to assess their level of depression. What are the independent (IV) and dependent variables (DV)?",25,8,12,5,46,23,2,0.92,0.08,8,10,5,0.2944,0.5425863986500215,0.92,0.8564430835120929,0.23939193952182655,-0.13082492088304248,-0.20059821202066527,
1656303,"You are interested in the difference between a different types of treatment for depression in a sample of college students. Some students receive no treatment, another group of students receive Cognitive Behavioral Therapy (CBT), and the last group of students receive a prescription for anti-depressants. All the students are randomly chosen to be in a group and at the end of the study, you decide to give them a survey to assess their level of depression. What are the conditions?",25,8,12,5,46,22,3,0.88,0.12,8,10,4,0.4224,0.6499230723708769,0.88,0.8564430835120929,0.25770862562487457,-0.07559745458584,-0.32270147151150474,
1656304,"You are interested in the difference between a different types of treatment for depression in a sample of college students. Some students receive no treatment, another group of students receive Cognitive Behavioral Therapy (CBT), and the last group of students receive a prescription for anti-depressants. All the students are randomly chosen to be in a group and at the end of the study, you decide to give them a survey to assess their level of depression. A correlational design was used for this example.",25,8,12,5,46,19,6,0.76,0.24,8,8,3,0.7295999999999999,0.8541662601625049,0.76,0.8564430835120929,0.3841701789816497,-0.3841701789816497,,
1656306,Frequency is the number of times a score occurs,25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656307,What is the difference between a bar graph and a histogram?,25,8,12,5,46,20,5,0.8,0.2,8,10,2,0.64,0.8,0.8,0.8564430835120929,0.3888178861881659,-0.20931987341286798,-0.52918218210088,0.10709639399660652
1656308,You are dealing with some skewed distributions in your data; what should you use to address your skewed data?,25,8,12,5,46,20,5,0.8,0.2,8,10,2,0.64,0.8,0.8,0.8564430835120929,0.4486360225248067,,-0.32270147151150474,-0.31701083950988923
