"","state","county_name","county_crime_2016","inactivity_2016","median_house_income_2016","pop_2016","rural_2016","rec_resource_2016","county_crime_2018","inactivity_2018","median_house_income_2018","pop_2018","rural_2018","rec_resource_2018","county_crime_2020","inactivity_2020","median_house_income_2020","pop_2020","rural_2020","rec_resource_2020"
"1","US","United States",392.04093974,NA,53657,NA,NA,0.8392108682,379.85448908,0.23,57617,323127513,NA,0.8309343567,386.46489648,0.233,61937,327167434,0.1926902892,0.8416869169
"2","AL","Alabama",417.96887253,0.2931867296,42917,4849377,0.409631829,0.6280669058,436.02528817,0.29,46309,4863300,0.409631829,0.6281895067,479.91918191,0.298,49881,4887871,0.409631829,0.6111228737
"3","AL","Autauga County",253.64461706,0.287,54366,55395,0.4200216232,0.708214986,265.6997471,0.309,54487,55416,0.4200216232,0.7112019204,272.28222006,0.347,59338,55601,0.4200216232,0.6913012406
"4","AL","Baldwin County",220.66510634,0.252,49626,200111,0.4227909911,0.721685458,216.77307832,0.245,56460,208563,0.4227909911,0.6851891477,203.66039629,0.265,57588,218022,0.4227909911,0.7371354895
"5","AL","Barbour County",146.8885763,0.329,34971,26887,0.677896347,0.4526714499,328.65907099,0.306,32884,25965,0.677896347,0.5284262665,414.27786068,0.235,34382,24881,0.677896347,0.5316676986
"6","AL","Bibb County",235.95211046,0.332,39546,22506,0.6835260746,0.3283875191,147.29089953,0.375,43079,22643,0.6835260746,0.4859262492,89.349125982,0.335,46064,22400,0.6835260746,0.1625136374
"7","AL","Blount County",219.03434424,0.285,45567,57719,0.8995150204,0.2550853076,211.59883621,0.29,47213,57704,0.8995150204,0.3227207704,482.69061089,0.303,50412,57840,0.8995150204,0.1563448589
"8","AL","Bullock County",283.35085234,0.331,26580,10764,0.5137438153,0.231995602,302.28603816,0.298,34278,10362,0.5137438153,0.2219168041,311.0273327,0.246,29267,10138,0.5137438153,0.0250137438
"9","AL","Butler County",483.03787782,0.344,32512,20296,0.7123215735,0.4600658806,523.43993568,0.339,35409,19998,0.7123215735,0.4604000573,581.58400519,0.395,37365,19680,0.7123215735,0.4857974889
"10","AL","Calhoun County",504.5156397,0.336,41123,115916,0.3369682556,0.5928549742,574.32355552,0.325,41778,114611,0.3369682556,0.4821711703,756.06654427,0.317,45400,114277,0.3369682556,0.477212158
"11","AL","Chambers County",553.4591195,0.348,34116,34076,0.4914803449,0.611632325,526.85596989,0.326,39530,33843,0.4914803449,0.6320911881,528.99973623,0.301,39917,33615,0.4914803449,0.6186467923
