"","state_abbreviation","county_name","release_year.x","smoke15","release_year.y","smoke20"
"1","US","united_states",2015,0.203,2020,0.1708001743
"2","AL","alabama",2015,0.219,2020,0.2092735311
"3","AL","autauga_county",2015,0.217,2020,0.1808155718
"4","AL","baldwin_county",2015,0.206,2020,0.174890326
"5","AL","barbour_county",2015,0.251,2020,0.2199998453
"6","AL","bibb_county",2015,0.259,2020,0.1911419989
"7","AL","blount_county",2015,0.213,2020,0.1920867197
"8","AL","bullock_county",2015,0.378,2020,0.2289466401
"9","AL","butler_county",2015,0.305,2020,0.2176533496
"10","AL","calhoun_county",2015,0.244,2020,0.2061256037
"11","AL","chambers_county",2015,0.241,2020,0.1939292705
"12","AL","cherokee_county",2015,0.244,2020,0.1749867379
"13","AL","chilton_county",2015,0.201,2020,0.2018897906
"14","AL","choctaw_county",2015,0.199,2020,0.1879324829
"15","AL","clarke_county",2015,0.137,2020,0.2057965532
"16","AL","clay_county",2015,0.262,2020,0.1962035415
"17","AL","cleburne_county",2015,0.189,2020,0.1837446577
"18","AL","coffee_county",2015,0.177,2020,0.1744475759
"19","AL","colbert_county",2015,0.296,2020,0.1865882106
"20","AL","conecuh_county",2015,0.229,2020,0.2110751296
"21","AL","coosa_county",2015,0.3,2020,0.2039996562
"22","AL","covington_county",2015,0.287,2020,0.1924945154
"23","AL","crenshaw_county",2015,0.166,2020,0.1864692956
"24","AL","cullman_county",2015,0.22,2020,0.1790107122
"25","AL","dale_county",2015,0.212,2020,0.2005739493
"26","AL","dallas_county",2015,0.206,2020,0.2408899101
"27","AL","dekalb_county",2015,0.18,2020,0.2102827079
"28","AL","elmore_county",2015,0.214,2020,0.1745250185
"29","AL","escambia_county",2015,0.209,2020,0.2241258458
"30","AL","etowah_county",2015,0.26,2020,0.201473986
"31","AL","fayette_county",2015,0.141,2020,0.1800159326
"32","AL","franklin_county",2015,0.245,2020,0.1925058304
"33","AL","geneva_county",2015,0.325,2020,0.2000360328
"34","AL","greene_county",2015,0.181,2020,0.2463281871
"35","AL","hale_county",2015,NA,2020,0.2207729134
"36","AL","henry_county",2015,0.17,2020,0.1842984544
"37","AL","houston_county",2015,0.184,2020,0.1924978278
"38","AL","jackson_county",2015,0.221,2020,0.1995892088
"39","AL","jefferson_county",2015,0.212,2020,0.1762204526
"40","AL","lamar_county",2015,0.261,2020,0.20430552
"41","AL","lauderdale_county",2015,0.177,2020,0.166560043
"42","AL","lawrence_county",2015,0.278,2020,0.2018764616
"43","AL","lee_county",2015,0.183,2020,0.1756014041
"44","AL","limestone_county",2015,0.219,2020,0.1817335659
"45","AL","lowndes_county",2015,0.226,2020,0.2261591119
"46","AL","macon_county",2015,0.138,2020,0.2141469639
"47","AL","madison_county",2015,0.183,2020,0.168201727
"48","AL","marengo_county",2015,0.168,2020,0.2135600035
